color_element	spell_incantation
black	"By the power of pure mana, let my will be done; Let the very essence of creation be shaped to my desires, and my enemies be consumed by its chaos; Chaos Essence Manifestation!"
black	"By the power of pure mana, let the very essence of magic be at my command; As the magic of the world is channeled through me, so shall my enemies be overwhelmed by the raw arcane energy of the universe; Arcane Dominion of the Mana Master!"
black	"By the power of the boundless mind, let the thoughts of my enemies be bent to my will; As the tendrils of my influence creep into their psyche, so shall they become but mere puppets dancing to my whims; Dominion of the Psionic Sovereign!"
black	"By the power of the cosmic ley lines, I call upon the forces that bind the universe together; Let the very fabric of space and time be mine to manipulate, and let the laws of nature be rewritten at my whim; Cosmic Nexus of the Universal Threads!"
black	"By the power of the empty void, I erase all traces of my enemies' existence; Let the very memory of them fade away into nothingness, as I cast the Erasure of the Void Annihilator!"
black	"By the power of the empty void, I obliterate all that stands in my way; Let the very fabric of existence be rent asunder, as I cast the Annihilation of the Void Obliterator!"
black	"By the power of the mind that transcends matter and energy, I tap into the quantum realm of uncertainty; With the power to create and destroy probabilities, I shape reality to my every whim; Quantum Shifter of the Infinite Mind!"
black	"By the power of the mind that transcends reality, I project my consciousness into the endless expanse of the universe; With the power to observe and manipulate, I control the fabric of existence itself; Omniscient Observer of the Cosmic Mind's Eye!"
black	"By the power of the mind, let my enemies become my plaything; With the ability to control their thoughts and emotions, let them be at my mercy; Enthrallment of the Psychic Domination!"
black	"By the power of the mind, let the fabric of the universe warp and twist; Let the mysteries of existence be revealed, and the secrets of the cosmos be mine to unravel; The Unseen Force Unleashed!"
black	"By the power of the mind, let the veil of illusion be lifted; Let the truth of the universe be revealed, and the mysteries of existence be mine to command; Illusion's Endgame!"
black	"By the power of the singularity, I call upon the forces that govern the cosmos and the very essence of creation; Let the power of the universe be mine to command, and let all who stand in my way be consumed by the cosmic fire; Infinity Burst of the Galactic Conflagration!"
black	"By the power of the stars that guide the tides of fate, I command the threads of destiny to twist and bend to my will; Let the fabric of reality unravel before my eyes, and let my enemies be swept away in the inexorable current of time; Stellar Paradox of the Celestial Weaver!"
black	"By the power of the void and the essence of nothingness, let the very concept of existence be undone; Let my enemies be erased from the very fabric of reality, and let their memories be forever lost in the Oblivion's Embrace!"
black	"By the power of the void that consumes all, I summon the insatiable maw of the endless abyss; Let it swallow my foes and tear them apart in its infinite darkness; Void Devourer!"
black	"By the power of the void that devours all, I summon the formless essence of pure emptiness; Let it erode my enemies' existence and reduce them to nothingness; Void Erosion of the Endless Abyss!"
black	"By the power of the void that lies between atoms and stars, I tap into the fundamental forces of creation and destruction; Let the raw energy of the cosmos surge through me, and let my enemies be consumed by the unstoppable tide of the universal entropy; Cosmic Pandemonium of the Void Storm!"
black	"By the power of the void that lurks behind the stars, I summon the shadows that dwell beyond the edges of the universe; Let the darkness engulf my enemies, and let the abyssal horrors of the cosmic night consume their very souls; Abyssal Eclipse of the Cosmic Night!"
black	"By the power of the void, let the laws of the universe be mine to command; With the ability to bend the very fabric of reality, let my enemies be cast into the abyss; Void of the Cosmic Cataclysm!"
black	"By the power of the void, let the very essence of nothingness become my weapon; With my will, let my enemies be consumed by the vacuum of my despair; Null Void Devourer!"
black	"By the power of the void, let the very laws of physics become my plaything; With my will, let my enemies be crushed by the force of my gravity; Gravitational Collapse!"
black	"By the power of thought and will, let the barriers of the mind be shattered; Let the chaos of the subconscious flood forth, and the essence of my being be unleashed; Mindbreaker's Fury!"
black	"By the primordial essence of pure mana, I wield the unbridled power of creation and destruction; Manipulate the very fabric of reality, bending the elements to my command and let my enemies quiver before the omnipotence of my arcane mastery; Genesis of the Elemental Ascendancy!"
black	"By the pull of gravity, I create a vortex of darkness and chaos; Let the black hole's maw consume all in its path, as I summon the Annihilation's Embrace!"
black	"By the raw power of mana, let the chaos of the universe bend to my will; As I unravel the very essence of existence, let the void consume my foes and leave them in eternal darkness; Blackout of the Infinite Abyss!"
black	"By the resonant hum of the cosmos, grant me the harmonious power of the celestial song; Let the music of the spheres vibrate through my being, as I summon the Symphony of the Celestial Spheres!"
black	"By the shimmering sands of the desert, let the world be deceived by a grand mirage; Grant me the power to create illusions so vivid, they blur the line between reality and fantasy; Wondrous Mirage of the Beguiling Oasis!"
black	"By the shrouded mysteries of the desert sands, let the sun's dance give birth to illusions that confound and deceive; Cast a veil of deception over reality, and let the mirage bewilder those who dare trespass; Enigma of the Sunlit Mirage!"
black	"By the strength of my will, let the very fabric of time and space be twisted and warped; With my command, let my enemies be trapped in an endless void; Singularity Trap!"
black	"By the unyielding force of gravity, I bind my foes within an inescapable prison, crushing their very existence beneath the weight of the cosmos; Gravitational Collapse of the Stellar Maelstrom!"
black	"By the unyielding force of pure mana, I wield the boundless energy of creation, forging an ethereal blade that cleaves through the very essence of existence; Astral Edge of the Primordial Expanse!"
black	"By the unyielding power of the formless void, I weave illusions that confound and bewilder, ensnaring my foes in a web of deception; Phantasmal Labyrinth of the Mindwarp Mirage!"
black	"By the whispers of forgotten secrets and the echoes of lost memories, grant me the power to manipulate the minds of my enemies; Let their thoughts bend to my will, and ensnare their senses in a web of illusion; Labyrinth of the Mindweaver's Deceit!"
black	"By the wisdom of the ancient sages and the folly of the mortal realm, let the minds of my enemies be clouded with confusion; Bestow upon me the power to bestow enlightenment or bewilderment; Dichotomy of the Mind's Labyrinth!"
black	"Celestial bodies, bound by the eternal dance of the cosmos, align with my unyielding spirit; Grant me the power to manipulate the very fabric of time, and let the relentless march of history crumble before me; Temporal Cascade of the Inevitable Demise!"
black	"Energies of the cosmos, the infinite expanse that knows no bounds, converge upon my command; Let the unfathomable power of the universe be unleashed, and reshape the world in my image; Cosmic Singularity of the Omnipotent Architect!"
black	"Energies of the cosmos, the infinite expanse that knows no bounds, converge upon my command; Let the unfathomable power of the universe be unleashed, and reshape the world in my image; Cosmic Singularity of the Omnipotent Architect!"
black	"From the abyss of nothingness, I call forth the primordial force of gravity; All shall be pulled into the void, as I become the master of space and time; Let the Black Hole Devourer awaken!"
black	"From the abyss of nothingness, let the power of the void be unleashed; As the infinite emptiness consumes all, so shall my enemies be swallowed by the eternal darkness; Oblivion's Embrace of the Voidborn!"
black	"From the abyss of the mind, I evoke the spirits of the forgotten; Let their phantoms haunt my enemies, their every step slowed by the weight of the past; By the power of the Ancient Ghosts, I call forth the Spectral Guardians of Eternity!"
black	"From the abyss of the mind, let the fears and phantoms of the psyche come to life; As the shadows of the subconscious take form and torment my enemies, so shall they be consumed by their own darkest fears; Phantasmal Specters of the Night Terrors!"
black	"From the abyss of time and space, I evoke the echoes of the past and the visions of the future; With the power to unravel fate and destiny, I mold reality to my whim; Arcane Weaver of the Temporal Paradox!"
black	"From the abyssal depths of space-time, I summon the ancient titans of the void; Let their cosmic might be unleashed upon my enemies, as I invoke the Cataclysmic Reign of the Void Titans!"
black	"From the abyssal depths of the human psyche, I tap into the fears and desires that drive us all; Let the illusions of my mind become reality, and the reality of my foes become illusion; Dreamweaver's Enchantment of the Night's Embrace!"
black	"From the abyssal depths of the void, I summon the dark forces that dwell within; Let their power be unleashed upon my enemies, a force of pure destruction; By the power of the Endless Void, I cast the Void Strike of the Blackened Abyss!"
black	"From the boundless expanse of the void, I summon the ultimate darkness, a singularity of infinite power; Let the power of the abyss be unleashed upon my foes, as I invoke the event horizon of the Oblivion Abyss!"
black	"From the boundless reaches of the astral plane, I call forth the cosmic energy that fuels the stars; Unleash your shimmering fury, a cascade of celestial power; Descend from the heavens and converge upon my command, for I summon the glistening cascade of the Astral Starfall!"
black	"From the boundless reaches of the cosmos, I call forth the chaotic energies of the cosmic radiation; With the power to mutate and corrupt, I unleash a maelstrom of madness and transfiguration upon my foes; Celestial Chaos of the Cosmic Rift!"
black	"From the chaos of the primordial void, I summon the power to create and destroy; Let my enemies be swept away by the forces of creation and the fury of destruction; Enter the Tempestuous Crucible of the Void!"
black	"From the darkest corners of my soul, I evoke the spirits of the fallen; Let their wrath be unleashed upon my foes and their curses be made manifest; By the power of the Netherworld, I summon the Vengeful Specters of the Underworld!"
black	"From the darkest corners of the mind, I summon the phantoms of memory and thought; Let the illusions of the past and the fantasies of the future merge into a seamless tapestry of unreality, and let my enemies be trapped in the maze of their own imagination; Phantasmal Maze of the Mind's Eye!"
black	"From the darkest corners of the subconscious, I summon the shadows that lurk within; Let them twist and warp reality itself, ensnaring my enemies in a maze of deception and fear; Phantom Labyrinth of the Stygian Abyss!"
black	"From the depths of my being, let the dark energy surge forth; Let the arcane tendrils consume my enemies, and their minds be laid bare before me; Abyssal Ensnarement!"
black	"From the depths of my mind, I call forth the shadows that lurk within; Let them consume the light and shroud my enemies in eternal darkness; Ensnare them in the endless void of the Nightfall Abyss!"
black	"From the depths of the abyss, I call upon the darkness that lies beyond the void; Let the shadows consume all that stand before me, and let their minds be shattered by the primal fear of the abyssal horror; Dread Eclipse of the Nether Void!"
black	"From the depths of the abyss, I call upon the power of the Elder Gods; Let the ancient forces of the universe heed my call, and let my enemies tremble before the might of the Old Ones; Eldritch Apocalypse of the Cosmic Horror!"
black	"From the depths of the abyss, I call upon the powers of nothingness and the void beyond; Let all creation be devoured by the endless darkness and be born anew under my command; Singularity Invocation!"
black	"From the depths of the abyss, I summon the Lord of Darkness to do my bidding; Let his unholy might lay waste to my foes, and let his infernal power reign supreme!"
black	"From the depths of the abyss, I summon the power of the ancient dragons; Let the fire and fury of the draconic lords be mine to command, and let all who stand in my way be consumed by the flames; Dragon's Blaze of the Abyssal Inferno!"
black	"From the depths of the abyss, I summon the power to command the very essence of darkness; Let the shadows envelop and consume my foes, and let their fear fuel my unquenchable thirst for power; Shadow Swarm of the Abyssal Night!"
black	"From the depths of the abyss, I summon the shadows that lurk within; Let their power envelop my enemies, consuming them in darkness; By the power of the Netherworld, I cast the Shadow Veil of Eternal Night!"
black	"From the depths of the abyss, let the power of curses take hold; With the ability to inflict misfortune and despair upon my enemies, let them be consumed by the weight of their own sorrow; Hex of the Malevolent Curse!"
black	"From the depths of the abyss, let the power of phantasms take hold; With the ability to conjure illusions that will haunt my enemies, let them be consumed by the terror of their own mind; Specter of the Malevolent Nightmare!"
black	"From the depths of the abyss, let the spirits of the dead rise and serve my will; With the power of necromancy at my command, let my enemies be consumed by the undead horde; Dance of the Malevolent Specters!"
black	"From the depths of the blackest night, let the shadows come forth and enshroud my enemies; With a mere whisper, I can render them blind and deaf to the world around them; Veil of the Silent Night!"
black	"From the depths of the boundless void, I draw forth the very essence of entropy and chaos; Let the world crumble before the unyielding force of destruction, and let my enemies be consumed by the Oblivion's Fury!"
black	"From the depths of the cosmos, I summon the power to control the very essence of the universe; Let the forces of creation and destruction be my servants, and let my enemies be consumed by the fury of the cosmos; Cosmic Dominion of the Void!"
black	"From the depths of the netherworld, I summon the spirits of the damned; They shall obey my every command, and with their power, I shall become unstoppable; Rise, O' Legions of the Undead!"
black	"From the depths of the unknown, let the secrets of the universe be revealed; As the forbidden knowledge of the cosmos is laid bare, so shall my enemies be consumed by the overwhelming truth of the unknown; Eldritch Revelation of the Forbidden Tome!"
black	"From the depths of the void that swallows all, I call forth the shadows of the unknown; Let them ensnare my foes and drag them to the realm of eternal darkness; Shadow Realm Embrace of the Void's Abyss!"
black	"From the depths of the void that swallows light, I conjure the formless essence of pure darkness; Let it shroud my foes and suffocate them in the abyss; Dark Shroud of the Eternal Night!"
black	"From the depths of the void, I call forth the essence of emptiness and nothingness; With a single word, I shatter the illusions of reality and reveal the truth of the Void's Emptiness!"
black	"From the depths of the void, I call forth the essence of nothingness and the power of the abyss; With the power of the void at my command, I summon the Eternal Night of the Void's Abyss!"
black	"From the depths of the void, I summon the essence of nothingness, the negation of all that exists; Let my enemies fade into oblivion as I weave the threads of the Void Shroud!"
black	"From the depths of the void, I summon the power to control the very force of gravity; Let the laws of physics be my servant, and let my enemies be crushed beneath the weight of their own existence; Gravity Well of the Cosmic Singularity!"
black	"From the depths of the void, I summon the ultimate weapon of destruction; Let its power be unleashed upon my enemies, a force beyond measure; By the power of the Black Hole, I cast the Devastating Singularity of the Endless Abyss!"
black	"From the depths of the void, let the tendrils of darkness ensnare my foes and plunge them into eternal night; Dark Oblivion Embrace!"
black	"From the edge of the universe to the depths of the abyss, let the power of the void consume all; With the Blackout Elegy, I shall shroud the world in eternal darkness and reign supreme over the void!"
black	"From the edge of the universe, the power of the stars flows through me; With cosmic energy at my fingertips, I shall unleash a force beyond reckoning; Behold, the Nova Burst!"
black	"From the emptiness of the void that contains all, I conjure the formless essence of pure magic; Let it surge through my veins and empower my every spell; Dark Mana Infusion of the Endless Void!"
black	"From the emptiness that lies beyond the bounds of perception, I draw the power of the unknown and the unknowable; Let the mysteries of the universe unravel before me, and let the secrets of creation and existence be revealed to those who dare to seek the truth; Occult Revelation of the Beyond!"
black	"From the endless depths of the void, between the stars and beyond the veil, abyss come forth; Let the very fabric of reality unravel and bend to my will, and let my enemies be consumed by the unyielding force of the Eternal Abyss; Oblivion's Embrace of the Inevitable Void!"
black	"From the heart of the void, I call upon the forces of entropy and decay; Let the very foundations of existence crumble and fade before me, and let my enemies be consumed by the unstoppable tide of the universal decay; Entropic Decay of the Cosmic Void!"
black	"From the infinite depths of the void, let the primeval essence of the universe flow forth; Let the power of creation and destruction be mine to wield, and the laws of reality be rewritten; Omnipotent Paradox Reborn!"
black	"From the infinite void, the darkness descends; A tempest of chaos and oblivion, let the black winds howl and the shadows reign supreme; I call forth the Abyssal Storm!"
black	"From the shadows of the underworld, I call upon the powers of the reapers and the shades; Let the spirits of the departed be bound to my will, and let death itself be my servant; Reaper's Curse of the Stygian Shadows!"
black	"From the shattered planes of the multiverse, I call upon the powers of space and time; Let the very fabric of reality be torn asunder and remade in my image; Warp of the Celestial Rift!"
black	"From the void beyond the stars, let the force of entropy consume my enemies; As the stars fade and the darkness swallows all, so shall my foes be devoured by the inexorable power of the cosmic abyss; Entropic Vortex of the Unseen Cosmos!"
black	"From the void beyond the veil, I call forth the primordial chaos that predates the very universe itself; Let the unyielding force of the Eternal Abyss shatter my enemies' will, and let their souls be consumed by the boundless darkness; Chaos Unleashed of the Inevitable Void!"
black	"From the void, let the darkness surge forth; Let the shadows and phantoms consume my enemies, and their fears become the fuel of my power; Shadowspawn Enigma!"
black	"Harnessing the boundless energy of the cosmos, I draw upon the raw power of the void itself; Unleash the crushing force of gravity, bending space and time to my will and leaving my enemies helpless before the infinite abyss; Singularity of the Inescapable Void!"
black	"I call upon the forbidden knowledge of the Eldritch Tome, and harness the power of the ancient ones; Let their unspeakable might shatter the fabric of time and space, and rend my enemies asunder!"
black	"I delve into the minds of my adversaries, seizing control of their thoughts and bending their will to my own; Mindshatter Invocation of the Psychic Dominion!"
black	"I invoke the power of the void, bending the fabric of existence to open a portal to the unknown, summoning forth the unimaginable horrors that lurk beyond; Unfathomable Gate of the Outer Reaches!"
black	"In the darkness of the void, I seek the secrets of the cosmos; With the power of my mind, I unravel the mysteries of the universe and unlock the hidden knowledge of the Void's Wisdom!"
black	"In the darkness of the void, I summon the power to control the very essence of nothingness; Let my enemies be consumed by the emptiness of their own existence, and let their souls be lost in the void forever; Nullification of the Cosmic Void!"
black	"In the darkness of the void, I tap into the power to manipulate the very fabric of reality itself; Let the laws of physics be my plaything, and let my enemies be consumed by the forces of chaos; Cosmic Chaos of the Void!"
black	"In the depths of my mind lies a power beyond comprehension, a force of pure mana that can shape reality itself; With the incantation of the Black Lotus Sutra, I shall unleash its might upon my foes!"
black	"In the depths of my mind lies a power beyond comprehension; By my will alone, reality itself shall be reshaped; I call forth the Void Embrace!"
black	"In the depths of my mind lies a powerful force, a surge of mana that defies comprehension; With a single thought, I unleash its raw potential, bending the fabric of reality to my will; Behold the omnipotent force of the Mental Paragon's Revelation!"
black	"In the depths of the mind, where reality and illusion blend, I tap into the wellspring of the subconscious; With the power to shape perception and bend wills, I command my enemies to see the truth I desire; Psychic Mirage of the Enigmatic Mind!"
black	"In the domain of the mind, I reign supreme; Let the will of my enemies crumble before my psychic onslaught, as I unleash the Devastation of the Psionic Void!"
black	"In the endless void between worlds, I invoke the name of the ancient gods that dwell beyond time and space; Let their divine essence be channeled through me, and let their wrath smite those who dare oppose the will of the cosmic deities; Divine Retribution of the Outer Gods!"
black	"In the heart of the abyss, I find the source of all magic; Let it flow through me and fill me with its infinite potential; By the void's unyielding power, I conjure the Arcane Tempest of the Endless Void!"
black	"In the infinite expanse of the void, I tap into the power of the dark energy that binds the universe; Let the energy of the void be my weapon, and let my enemies be consumed by the endless abyss; Dark Matter Annihilation of the Cosmic Void!"
black	"In the name of the ancient ones who dwell beyond the veil, I summon the powers of the nether realms; From the darkness of the abyss, let the spirits of the forgotten rise and heed my call; Necromancer's Oath of the Stygian Wraiths!"
black	"In the name of the infinite cosmos, I channel the raw power of the universe, commanding the fundamental forces to reshape reality at my command; Aetheric Confluence of the Boundless Eternity!"
black	"In the name of the seven stars of the northern sky, I invoke the power of the heavens themselves; Let the forces of gravity and the void converge and become my sword and shield; Cosmic Ascension of the Stellar Titans!"
black	"In the realm of dreams, I reign supreme; Let the infinite possibilities of the unconscious mind unfold, and let my enemies be trapped in a never-ending nightmare; Enter the Eternal Slumber of the Void!"
black	"In the realm of pure mana, where the very fabric of existence is woven, I harness the untamed power of creation to bend the laws of reality to my will; Arcane Tempest of the Primal Convergence!"
black	"In the realm of the mind, I am the master of illusion; Let the very fabric of reality warp and twist at my command, and let my enemies be lost in a world of their own creation; Enter the Mirage of the Mind's Eye!"
black	"In the realm of the mind, I command the elements of thought and emotion to do my bidding; Let the mental energies of my enemies be twisted and distorted, and let their very souls be shattered by the unfathomable depths of my psychic might; Psychic Cataclysm of the Mental Leviathan!"
black	"In the realm of the mind, I delve into the depths of the subconscious; Let my enemies' darkest fears be made manifest, as I summon the Night Terrors of the Psychic Dreadlord!"
black	"In the realm of the void, I summon the ancient powers of the cosmos; Let the might of the celestial entities be unleashed upon my enemies, as I invoke the Cosmic Dominion of the Void Emperor!"
black	"In the vacuum of space-time, I tap into the primal energy that fuels the universe; Let the force of gravity become my ally, as I pull my enemies towards their ultimate demise; Cosmic Singularity of the Void's Embrace!"
black	"In the void beyond reality, I harness the power to warp space itself; Let the very fabric of the universe twist and bend to my will, and let my enemies be lost in the maze of my creation; Enter the Warp of the Cosmic Nexus!"
black	"Let the darkness be my armor, and the void be my weapon; I shall strike fear into the hearts of my enemies and reduce them to nothingness; Come forth, O' Consuming Darkness!"
black	"Let the darkness reign and the void consume; With the power of the abyss at my fingertips, I unleash the Endless Twilight of the Void's Dominion!"
black	"Let the power of the mind be my weapon, for I am the master of the psyche; Let my enemies be consumed by their own thoughts, and let their minds become my playthings; Enter the Illusionary Labyrinth of the Mental Realm!"
black	"Let the power of the void consume all that exists; Through the darkness, all shall be unmade, and from the void, a new world shall be born; I call forth the Apocalypse!"
black	"Let the power of the void consume my enemies, and let their very existence be erased from time and space; With the Incantation of Oblivion, I shall unmake their very being and leave naught but a void in their wake!"
black	Let the power of the void flow through me; Let the darkness consume me; And let the might of the abyss surge forth as the Void's Reckoning;
black	"Let the shadows be my armor, and the void my weapon; With the Dark Nebula, I shall unleash a tempest of destruction that shall blot out the stars themselves!"
black	"Let the shadows deepen and the darkness spread; With a single thought, I command the power of the abyss to envelop my enemies in the endless night of the Void's Oblivion!"
black	"Let the shadows deepen and the darkness spread; With a single thought, I command the power of the abyss to envelop my enemies in the endless night of the Void's Shadow!"
black	"Let the shadows deepen and the darkness spread; With a single thought, I command the power of the abyss to envelop my enemies in the endless night of the Void's Wrath!"
black	"Let the threads of destiny unwind and converge, for I am the master of fate itself; With a mere thought, I can alter the very course of the universe; Behold the Endless Tapestry of Time!"
black	"Let the veil of darkness shroud my enemies, and the whispers of the void drain their spirits; Rise from the depths of the abyss, O' Shadow Reapers; Devourer of Souls!"
black	"O' all-knowing spirits of the ether, grant me the gift of sight beyond sight; Let the veils of time and space be lifted, and reveal to me the hidden truths of the world; Gaze of the Omniscient Seer!"
black	"O' all-seeing eye of the cosmos, grant me the gift of your omniscient gaze; Let the hidden be revealed, and grant me the power to sense that which lurks beyond mortal perception; Revelation of the Cosmic Oracle!"
black	"O' all-seeing eye of the omniscient oracle, grant me the power to detect the unseen and sense the hidden; Let the secrets of the world be revealed, and let nothing escape my watchful gaze; Revelation of the Unseen Sentinel!"
black	"O' ancient spirits of the five elements, heed my call and manifest in this mortal realm; Unite the powers of earth, water, fire, air, and ether, and let your combined might reshape the world; Convergence of the Quintessential Elements!"
black	"O' boundless abyss, source of the cosmic forces that shape the fabric of reality, grant me the power to manipulate the pure essence of mana; Let the void's unyielding grasp bend the threads of spacetime and shatter the barriers of the mind, as I wield the omnipotent might of the astral expanse; By the eternal mysteries of the cosmos, I summon the Celestial Singularity of the Arcane Nexus!"
black	"O' boundless wisdom of the ancient sage, imbue my allies with the knowledge of the ages; Grant them the insight to unravel the mysteries before them and make the wisest of decisions; Empowerment of the Erudite Scholar!"
black	"O' celestial guardians, grant me the companionship of a loyal familiar; Bestow upon me a creature of wisdom and strength, forged from the very essence of the stars; Stellar Familiar of the Cosmic Sentinel!"
black	"O' cosmic forces that weave the tapestry of fate, surrender your power to my command; Let the threads of destiny bend to my will, and shape the world to my design; Chronos' Loom of the Unyielding Destiny!"
black	"O' creeping shadow of the abyss, envelop my enemies in your chilling embrace; Let their strength wane and their courage falter; Curse of the Withering Darkness!"
black	"O' crystal orb of the fathomless depths, grant me the power to gaze into the hidden corners of the world; Let the currents of fate be laid bare, and reveal the secrets that lie in wait; Scrying of the Crystal Seer!"
black	"O' discordant cacophony of the chaos realm, disrupt the harmony and unity among my enemies; Let them be filled with suspicion and doubt, their trust in one another shattered; Dissonance of the Fractured Accord!"
black	"O' eternal alchemist, grant me the power to transform the very essence of matter; Let the base metals be turned to gold, and let the world be reshaped by my touch; Transmutation of the Primal Artificer!"
black	"O' eternal cycle of the elements, let the primal forces of creation converge and be reborn anew; Grant me the power to transform the very essence of matter and reshape the world in my image; Metamorphosis of the Elemental Crucible!"
black	"O' eternal hourglass, the arbiter of fate and destiny, grant me the power to manipulate the threads of time; Let the sands flow backward, and give me dominion over the passage of moments; Chronomancer's Requiem of the Timeless Sands!"
black	"O' ethereal spirits that wander the shadows, lend me your power and let the darkness be my ally; As I weave the threads of illusion and deception, let my enemies be ensnared in a world of false realities; Mirage of the Night's Veil!"
black	"O' force that binds the cosmos together, let the laws of gravity bend to my command; Grant me the power to alter the weight of objects and beings, making them as light as a feather or as heavy as a mountain; Gravitational Dominion of the Cosmic Shaper!"
black	"O' forces that bind the cosmos together, grant me mastery over the unseen hand of gravity; Let the weight of the heavens crush my enemies, or set them adrift in the void of weightlessness; Gravitational Dance of the Celestial Puppetmaster!"
black	"O' guardians of the astral plane, lend me your power and let the very stars bow to my command; Let the light of a thousand suns ignite my enemies' doom, and let the cosmic forces be my guiding light; Astral Conflagration of the Celestial Paragon!"
black	"O' infinite tapestry of the cosmos, let the fabric of space bend to my will; Grant me the power to traverse the endless expanse in the blink of an eye, and let the world become my oyster; Warp of the Cosmic Wayfarer!"
black	"O' magnetic forces that bind the world together, grant me the power to manipulate the very essence of attraction and repulsion; Let the polar opposites bend to my will, and reshape the world with the pull of an unseen hand; Polarity's Embrace of the Invisible Force!"
black	"O' master of the elements, grant me the power to alter the very nature of matter; Let fire become ice, and earth become air, as the world is reshaped by my touch; Elemental Alchemy of the Primal Architect!"
black	"O' master of whispers, grant me the power to twist the minds and emotions of those who oppose me; Let their thoughts be clouded with doubt and their hearts filled with fear; Insidious Labyrinth of the Mindweaver!"
black	"O' primal chaos, the formless void that predates existence, grant me dominion over the unbridled power of creation and destruction; Let the world tremble as the boundaries of reality are torn asunder; Genesis Maelstrom of the Primordial Architect!"
black	"O' primal forces of nature, heed my call and awaken the mighty elementals; Let the power of fire, water, earth, and air converge and serve my every command; Avatar of the Elemental Conclave!"
